Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796	113	-330	33	3796
114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811	114	-15	15	3811
115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824	115	-13	13	3824
116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837	116	-13	13	3837
117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852	117	-15	15	3852
118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873	118	-21	21	3873
119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899	119	-125	26	3899
120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917	120	-117	18	3917
121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937	121	-20	20	3937
122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950	122	-13	13	3950
123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969	123	-19	19	3969
124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997	124	-226	28	3997
125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010	125	-13	13	4010
126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024	126	-14	14	4024
127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037	127	-13	13	4037
128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050	128	-13	13	4050
129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073	129	-122	23	4073
