Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
190	-22	22	4701	190	-22	22	4701	190	-22	22	4701	190	-22	22	4701	190	-22	22	4701	190	-22	22	4701
191	-20	20	4721	191	-20	20	4721	191	-20	20	4721	191	-20	20	4721	191	-20	20	4721	191	-20	20	4721
192	-26	26	4747	192	-26	26	4747	192	-26	26	4747	192	-26	26	4747	192	-26	26	4747	192	-26	26	4747
193	-19	19	4766	193	-19	19	4766	193	-19	19	4766	193	-19	19	4766	193	-19	19	4766	193	-19	19	4766
194	-19	19	4785	194	-19	19	4785	194	-19	19	4785	194	-19	19	4785	194	-19	19	4785	194	-19	19	4785
195	-25	25	4810	195	-25	25	4810	195	-25	25	4810	195	-25	25	4810	195	-25	25	4810	195	-25	25	4810
196	-20	20	4830	196	-20	20	4830	196	-20	20	4830	196	-20	20	4830	196	-20	20	4830	196	-20	20	4830
197	-18	18	4848	197	-18	18	4848	197	-18	18	4848	197	-18	18	4848	197	-18	18	4848	197	-18	18	4848
198	-18	18	4866	198	-18	18	4866	198	-18	18	4866	198	-18	18	4866	198	-18	18	4866	198	-18	18	4866
199	-17	17	4883	199	-17	17	4883	199	-17	17	4883	199	-17	17	4883	199	-17	17	4883	199	-17	17	4883
