Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905	111	-13	13	1905
112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918	112	-13	13	1918
113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935	113	-17	17	1935
114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963	114	-127	28	1963
115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976	115	-13	13	1976
116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995	116	-19	19	1995
117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017	117	-121	22	2017
118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030	118	-13	13	2030
119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043	119	-13	13	2043
120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058	120	-15	15	2058
121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075	121	-17	17	2075
122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088	122	-13	13	2088
